tick,node_0_peers,node_1_peers,node_2_peers
0,0,0,0
1003,0,0,0
2006,0,0,0
3009,2,2,2
4012,2,2,2
5015,2,2,2
6023,2,2,2
7026,2,2,2
8030,2,2,2
9033,2,2,2
10036,2,2,2
11040,2,2,2
12043,2,2,2
13046,2,2,2
14050,2,2,2
