tick,node_0_peers,node_1_peers,node_2_peers,node_3_peers,node_4_peers
0,0,0,0,0,0
1005,0,0,0,0,0
2008,0,0,0,0,0
3066,4,4,4,4,4
4078,4,4,4,4,4
5089,4,4,4,4,4
6097,4,4,4,4,4
7009,4,4,4,4,4
8027,4,4,4,4,4
9038,4,4,4,4,4
10049,4,4,4,4,4
11055,4,4,4,4,4
12060,4,4,4,4,4
13090,4,4,4,4,4
14000,4,4,4,4,4
15004,4,4,4,4,4
16011,4,4,4,4,4
17016,4,4,4,4,4
18020,4,4,4,4,4
19027,4,4,4,4,4
20031,4,4,4,4,4
21037,4,4,4,4,4
22043,4,4,4,4,4
23047,4,4,4,4,4
24053,4,4,4,4,4
