tick,node_0_peers,node_1_peers,node_2_peers,node_3_peers,node_4_peers
0,0,0,0,0,0
1011,0,0,0,0,0
2014,0,0,0,0,0
3018,0,0,0,0,0
4021,0,0,0,0,0
5024,0,0,0,0,0
6027,0,0,0,0,0
7030,0,0,0,0,0
8032,0,0,0,0,0
9036,0,0,0,0,0
