tick,node_0_peers,node_1_peers,node_2_peers
0,0,0,0
1018,0,0,0
2024,0,0,0
3028,2,2,2
4031,2,2,2
5036,2,2,2
6040,2,2,2
7044,2,2,2
8053,2,2,2
9059,2,2,2
