tick,node_0_peers,node_1_peers,node_2_peers
0,0,0,0
1003,0,0,0
2008,0,0,0
3010,2,2,2
4015,2,2,2
5019,2,2,2
6023,2,2,2
7027,2,2,2
8031,2,2,2
9034,2,2,2
