tick,node_0_peers,node_1_peers,node_2_peers
0,0,0,0
1003,0,0,0
2005,0,0,0
3009,2,2,2
4012,2,2,2
5017,2,2,2
6021,2,2,2
7024,2,2,2
8028,2,2,2
9032,2,2,2
